1.000000 0.050000 1.000000 0.139330 30809.463225 
1.000000 0.060000 2.000000 0.158103 32191.695133 
1.000000 0.070000 4.000000 0.177560 33435.859198 
1.000000 0.080000 4.000000 0.196208 34396.777865 
1.000000 0.090000 4.000000 0.213214 35203.355694 
1.000000 0.100000 3.000000 0.229402 36007.316205 
1.000000 0.110000 2.000000 0.244844 36677.046469 
1.000000 0.120000 2.000000 0.259443 37243.503917 
1.000000 0.130000 2.000000 0.273395 37728.824502 
1.000000 0.140000 2.000000 0.286619 38207.964447 
1.000000 0.150000 2.000000 0.299152 38949.414322 
1.000000 0.160000 2.000000 0.311095 43790.554786 
1.000000 0.170000 2.000000 0.322418 47843.768853 
1.000000 0.180000 2.000000 0.333232 51281.959844 
1.000000 0.190000 2.000000 0.343530 54199.579661 
1.000000 0.200000 2.000000 0.353378 56467.407153 
1.000000 0.210000 2.000000 0.362788 58088.676481 
1.000000 0.220000 3.000000 0.371817 59106.382114 
1.000000 0.230000 3.000000 0.380452 59598.871464 
1.000000 0.240000 2.000000 0.388664 59469.689455 
1.000000 0.250000 2.000000 0.396623 59427.955940 
1.000000 0.260000 2.000000 0.404220 58274.483296 
1.000000 0.270000 2.000000 0.411471 56413.855625 
1.000000 0.280000 2.000000 0.418407 55624.460562 
1.000000 0.290000 2.000000 0.425169 58088.955405 
1.000000 0.300000 2.000000 0.431642 60196.536105 
1.000000 0.310000 2.000000 0.437853 62006.376701 
1.000000 0.320000 2.000000 0.443814 63638.348659 
1.000000 0.330000 2.000000 0.449637 65030.113798 
1.000000 0.340000 2.000000 0.455259 66232.760235 
1.000000 0.350000 2.000000 0.460673 67297.037591 
1.000000 0.360000 2.000000 0.465898 68263.278540 
1.000000 0.370000 2.000000 0.471016 69176.730008 
1.000000 0.380000 2.000000 0.475976 70065.218227 
1.000000 0.390000 2.000000 0.480770 70903.439964 
1.000000 0.400000 2.000000 0.485474 71700.208787 
1.000000 0.410000 2.000000 0.490045 72474.370250 
1.000000 0.420000 2.000000 0.494510 73257.765218 
1.000000 0.430000 2.000000 0.499121 73960.187211 
1.000000 0.440000 2.000000 0.503735 74622.926623 
1.000000 0.450000 2.000000 0.508258 75236.913390 
1.000000 0.460000 2.000000 0.512658 75893.546109 
1.000000 0.470000 2.000000 0.516933 76523.747148 
1.000000 0.480000 2.000000 0.521094 77118.174469 
1.000000 0.490000 2.000000 0.525195 77689.472514 
1.000000 0.500000 3.000000 0.529191 78565.892958 
1.000000 0.510000 4.000000 0.533084 79489.592788 
1.000000 0.520000 4.000000 0.536873 80419.969347 
1.000000 0.530000 4.000000 0.540564 81351.449223 
1.000000 0.540000 4.000000 0.544162 82283.296093 
1.000000 0.550000 4.000000 0.547667 83210.784193 
1.000000 0.560000 4.000000 0.551082 84129.881820 
1.000000 0.570000 4.000000 0.557503 85041.478154 
1.000000 0.580000 4.000000 0.563998 85954.761121 
1.000000 0.590000 4.000000 0.570349 86864.942706 
1.000000 0.600000 4.000000 0.576565 87770.022515 
1.000000 0.610000 4.000000 0.582654 88669.450169 
